./settings/juniper-bs-nsr/PODLib/blend531.stdout:DATA, blend531.jl, 272, 104, 0, 736, Max, 20.039002100324545, 20.06080052728146, UserLimit, 3600.161260843277
./settings/juniper-bs-nsr/PODLib/castro14m2.stdout:DATA, castro14m2.jl, 209, 0, 0, 205, Min, 575.9861111878477, NaN, Optimal, 0.6307411193847656
./settings/juniper-bs-nsr/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.272477149963379
./settings/juniper-bs-nsr/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582379469024, 4.579582379469024, Optimal, 0.018589019775390625
./settings/juniper-bs-nsr/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.5472800731658936
./settings/juniper-bs-nsr/PODLib/ex1264.stdout:DATA, ex1264.jl, 88, 68, 0, 95, Min, 8.600000001944766, 8.600000001944766, Optimal, 206.58481216430664
./settings/juniper-bs-nsr/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.526800613627179, 13.527953109998482, Optimal, 1017.2476689815521
./settings/juniper-bs-nsr/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.1075706856903543e6, 1.1075706856903543e6, Optimal, 128.85704898834229
./settings/juniper-bs-nsr/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5489168167114258
./settings/juniper-bs-nsr/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.19166249930684684, 0.19166249930684684, Optimal, 9.111512184143066
./settings/juniper-bs-nsr/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.359400771382981, 13.360551176610445, Optimal, 477.62828493118286
./settings/juniper-bs-nsr/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, NaN, 128.71468709895657, UserLimit, 3600.2400200366974
./settings/juniper-bs-nsr/PODLib/ex1266.stdout:DATA, ex1266.jl, 180, 138, 0, 178, Min, 16.300000019328472, 16.300000018591014, Optimal, 41.19283699989319
./settings/juniper-bs-nsr/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415479599999, 106.35415479599999, Optimal, 14.672469854354858
./settings/juniper-bs-nsr/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, NaN, 0.0, UserLimit, 3600.1079399585724
./settings/juniper-bs-nsr/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-bs-nsr/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5536770820617676
./settings/juniper-bs-nsr/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, NaN, 54.06097846285553, UserLimit, 3600.501801967621
./settings/juniper-bs-nsr/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, NaN, 10.948000217670693, UserLimit, 3600.316662788391
