./solvers/bonmin-nlw/JuniperLibSm/tspn05.stdout:DATA, tspn05.jl, 21, 10, 0, 11, Min, NaN, NaN, Error, 0.4084770679473877
./solvers/bonmin-nlw/JuniperLibSm/procurement1mot.stdout:DATA, procurement1mot.jl, 785, 60, 0, 750, Max, 291.54165829976176, NaN, Optimal, 201.39182710647583
./solvers/bonmin-nlw/JuniperLibSm/multiplants_stg1.stdout:DATA, multiplants_stg1.jl, 415, 198, 0, 262, Max, 355.08663910733924, NaN, UserLimit, 3768.4402799606323
./solvers/bonmin-nlw/JuniperLibSm/multiplants_mtg5.stdout:DATA, multiplants_mtg5.jl, 191, 78, 0, 309, Max, 5924.649351536803, NaN, Optimal, 1840.5373558998108
./solvers/bonmin-nlw/JuniperLibSm/sssd15-04.stdout:DATA, sssd15-04.jl, 89, 72, 0, 48, Min, 205054.4332876113, NaN, Optimal, 20.079556941986084
./solvers/bonmin-nlw/JuniperLibSm/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 0, NaN, Infeasible, 230.69881582260132
./solvers/bonmin-nlw/JuniperLibSm/fo9.stdout:DATA, fo9.jl, 183, 72, 0, 344, Min, 35.84797991847805, NaN, UserLimit, 3905.2575209140778
./solvers/bonmin-nlw/JuniperLibSm/graphpart_3g-0444-0444.stdout:DATA, graphpart_3g-0444-0444.jl, 193, 192, 0, 65, Min, -7.25963124610247e6, NaN, Optimal, 6.487008810043335
./solvers/bonmin-nlw/JuniperLibSm/tspn15.stdout:DATA, tspn15.jl, 136, 105, 0, 35, Min, NaN, NaN, Error, 0.4248650074005127
./solvers/bonmin-nlw/JuniperLibSm/heatexch_gen3.stdout:DATA, heatexch_gen3.jl, 581, 60, 0, 511, Min, 0, NaN, Infeasible, 23.00113582611084
./solvers/bonmin-nlw/JuniperLibSm/product.stdout:DATA, product.jl, 1554, 107, 0, 1926, Min, -2142.948101549661, NaN, Optimal, 3048.0214619636536
./solvers/bonmin-nlw/JuniperLibSm/sssd25-04persp.stdout:DATA, sssd25-04persp.jl, 129, 112, 0, 58, Min, 0, NaN, Infeasible, 0.8561570644378662
./solvers/bonmin-nlw/JuniperLibSm/deb10.stdout:DATA, deb10.jl, 183, 22, 0, 130, Min, 0, NaN, Infeasible, 12.339261054992676
./solvers/bonmin-nlw/JuniperLibSm/hydroenergy3.stdout:DATA, hydroenergy3.jl, 1009, 336, 0, 1499, Max, 744963.7583065437, NaN, Optimal, 36.79126691818237
./solvers/bonmin-nlw/JuniperLibSm/space25.stdout:DATA, space25.jl, 894, 750, 0, 236, Min, 484.32857170197883, NaN, Optimal, 90.84717202186584
./solvers/bonmin-nlw/JuniperLibSm/chp_shorttermplan1b.stdout:DATA, chp_shorttermplan1b.jl, 1681, 288, 0, 3851, Min, 269.5625218975831, NaN, Optimal, 885.5644490718842
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_lee4_08.stdout:DATA, crudeoil_lee4_08.jl, 3129, 152, 0, 6858, Max, NaN, NaN, UserLimit, 6505.797255992889
./solvers/bonmin-nlw/JuniperLibSm/supplychainr1_053050.stdout:DATA, supplychainr1_053050.jl, 5151, 1680, 0, 6581, Min, 0, NaN, Infeasible, 29.403015851974487
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_pooling_ct4.stdout:DATA, crudeoil_pooling_ct4.jl, 534, 138, 0, 925, Max, 13257.695129896403, NaN, Optimal, 3269.545660972595
./solvers/bonmin-nlw/JuniperLibSm/sfacloc1_2_95.stdout:DATA, sfacloc1_2_95.jl, 172, 9, 0, 209, Min, 18.850069837371656, NaN, Optimal, 1.4720818996429443
./solvers/bonmin-nlw/JuniperLibSm/o7_2.stdout:DATA, o7_2.jl, 115, 42, 0, 212, Min, 121.06246913483727, NaN, UserLimit, 3977.093815803528
./solvers/bonmin-nlw/JuniperLibSm/edgecross10-060.stdout:DATA, edgecross10-060.jl, 91, 44, 0, 481, Min, 458.9999872363451, NaN, Optimal, 1.173264980316162
./solvers/bonmin-nlw/JuniperLibSm/super3t.stdout:DATA, super3t.jl, 1056, 44, 0, 1343, Min, -0.68575008688147, NaN, UserLimit, 3673.5148420333862
./solvers/bonmin-nlw/JuniperLibSm/4stufen.stdout:DATA, 4stufen.jl, 150, 48, 0, 99, Min, NaN, NaN, Error, 0.41710615158081055
./solvers/bonmin-nlw/JuniperLibSm/portfol_shortfall200_05.stdout:DATA, portfol_shortfall200_05.jl, 805, 201, 0, 608, Min, -1.1062615316984383, NaN, UserLimit, 3615.2743911743164
./solvers/bonmin-nlw/JuniperLibSm/squfl025-040.stdout:DATA, squfl025-040.jl, 1026, 25, 0, 1041, Min, 197.33383439443452, NaN, Optimal, 67.36570382118225
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_lee2_10.stdout:DATA, crudeoil_lee2_10.jl, 2311, 140, 0, 5432, Max, NaN, NaN, UserLimit, 4294.885668992996
./solvers/bonmin-nlw/JuniperLibSm/o7_ar4_1.stdout:DATA, o7_ar4_1.jl, 113, 0, 42, 270, Min, NaN, NaN, UserLimit, 3923.539468050003
./solvers/bonmin-nlw/JuniperLibSm/tls5.stdout:DATA, tls5.jl, 162, 131, 5, 91, Min, NaN, NaN, Error, 0.4209940433502197
./solvers/bonmin-nlw/JuniperLibSm/ndcc16.stdout:DATA, ndcc16.jl, 1081, 60, 0, 378, Min, 113.56338071099998, NaN, UserLimit, 3667.74861907959
./solvers/bonmin-nlw/JuniperLibSm/heatexch_spec1.stdout:DATA, heatexch_spec1.jl, 57, 12, 0, 65, Min, 154997.32922653927, NaN, Optimal, 1.598888874053955
./solvers/bonmin-nlw/JuniperLibSm/multiplants_mtg6.stdout:DATA, multiplants_mtg6.jl, 350, 176, 0, 481, Max, 5301.954998286185, NaN, UserLimit, 3699.809072971344
./solvers/bonmin-nlw/JuniperLibSm/tls7.stdout:DATA, tls7.jl, 346, 289, 7, 155, Min, NaN, NaN, Error, 0.4251830577850342
./solvers/bonmin-nlw/JuniperLibSm/transswitch0009p.stdout:DATA, transswitch0009p.jl, 70, 9, 0, 140, Min, 5296.686202217952, NaN, Optimal, 142.47694301605225
./solvers/bonmin-nlw/JuniperLibSm/watercontamination0202r.stdout:DATA, watercontamination0202r.jl, 196, 7, 0, 284, Min, 97.9044367703537, NaN, Optimal, 4.069133996963501
./solvers/bonmin-nlw/JuniperLibSm/edgecross24-057.stdout:DATA, edgecross24-057.jl, 553, 552, 0, 8097, Min, 177.9999925900101, NaN, Optimal, 157.35669612884521
./solvers/bonmin-nlw/JuniperLibSm/multiplants_mtg2.stdout:DATA, multiplants_mtg2.jl, 230, 112, 0, 307, Max, 7089.235152280263, NaN, UserLimit, 3711.955246925354
