./settings/juniper-ts-dfs/PODLib/blend531.stdout:DATA, blend531.jl, 272, 104, 0, 736, Max, 20.03900393711069, 20.03900393711069, Optimal, 854.7281379699707
./settings/juniper-ts-dfs/PODLib/castro14m2.stdout:DATA, castro14m2.jl, 209, 0, 0, 205, Min, 575.9861111878477, NaN, Optimal, 0.6361570358276367
./settings/juniper-ts-dfs/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.242845058441162
./settings/juniper-ts-dfs/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582379469024, 4.579582379469024, Optimal, 0.020994901657104492
./settings/juniper-ts-dfs/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.5090329647064209
./settings/juniper-ts-dfs/PODLib/ex1264.stdout:DATA, ex1264.jl, 88, 68, 0, 95, Min, 8.599999999807334, 8.599999995144078, Optimal, 102.30407500267029
./settings/juniper-ts-dfs/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.526800612582266, 13.526800612582266, Optimal, 1638.466511964798
./settings/juniper-ts-dfs/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.451686182514038e6, 1.0864325772269524e6, UserLimit, 3600.7775449752808
./settings/juniper-ts-dfs/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5395610332489014
./settings/juniper-ts-dfs/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.19166347678386692, 0.19166347678386692, Optimal, 104.28520894050598
./settings/juniper-ts-dfs/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.359400839361063, 13.359400839361063, Optimal, 19.99057698249817
./settings/juniper-ts-dfs/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, 295.156437201049, 13.999997306400255, UserLimit, 3600.0890231132507
./settings/juniper-ts-dfs/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415479599999, 106.35415479599999, Optimal, 13.888805866241455
./settings/juniper-ts-dfs/PODLib/blend146.stdout:DATA, blend146.jl, 222, 87, 0, 624, Max, 42.506459439036654, 48.47959213319903, UserLimit, 3600.138300895691
./settings/juniper-ts-dfs/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, 0.0, 0.0, Optimal, 34.73110890388489
./settings/juniper-ts-dfs/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-ts-dfs/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5447759628295898
./settings/juniper-ts-dfs/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, 50.98840147871943, 54.873653592502606, UserLimit, 3600.673171043396
./settings/juniper-ts-dfs/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, NaN, 12.396652252035334, UserLimit, 3600.049145936966
