./settings/juniper-bs-r/PODLib/castro14m2.stdout:DATA, castro14m2.jl, 209, 0, 0, 205, Min, 575.9861111878477, NaN, Optimal, 0.6737411022186279
./settings/juniper-bs-r/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.2459731101989746
./settings/juniper-bs-r/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582379469024, 4.579582379469024, Optimal, 0.025884151458740234
./settings/juniper-bs-r/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.5158398151397705
./settings/juniper-bs-r/PODLib/ex1264.stdout:DATA, ex1264.jl, 88, 68, 0, 95, Min, 8.599999997316182, 8.599999992389812, Optimal, 173.8818860054016
./settings/juniper-bs-r/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.526800610500569, 13.526800610500569, Optimal, 490.8279800415039
./settings/juniper-bs-r/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.0861871272504737e6, 1.086118628175297e6, Optimal, 493.06582903862
./settings/juniper-bs-r/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5341629981994629
./settings/juniper-bs-r/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.19166150171705573, 0.19166150171705573, Optimal, 29.258463144302368
./settings/juniper-bs-r/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.35940089041193, 13.35940089041193, Optimal, 21.046422958374023
./settings/juniper-bs-r/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, NaN, 131.4761010667364, UserLimit, 3600.0389189720154
./settings/juniper-bs-r/PODLib/ex1266.stdout:DATA, ex1266.jl, 180, 138, 0, 178, Min, 16.300000020955057, 16.300000020955057, Optimal, 13.181433916091919
./settings/juniper-bs-r/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415482996824, 106.35415482996824, Optimal, 14.053958892822266
./settings/juniper-bs-r/PODLib/blend146.stdout:DATA, blend146.jl, 222, 87, 0, 624, Max, 45.296567464901244, 45.30080070840316, Optimal, 2417.2261440753937
./settings/juniper-bs-r/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, NaN, 0.0, UserLimit, 3600.280175924301
./settings/juniper-bs-r/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 2.8e-322
./settings/juniper-bs-r/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5620400905609131
./settings/juniper-bs-r/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, NaN, 53.991101128270664, UserLimit, 3600.264028072357
./settings/juniper-bs-r/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, NaN, 9.934413571933279, UserLimit, 3600.7610518932343
