./settings/juniper-ts-dbfs/PODLib/blend718.stdout:DATA, blend718.jl, 222, 87, 0, 519, Max, 7.393601765379568, 7.393601765379568, Optimal, 1090.5794730186462
./settings/juniper-ts-dbfs/PODLib/blend531.stdout:DATA, blend531.jl, 272, 104, 0, 736, Max, 20.03900393540504, 20.041000808184215, Optimal, 1820.3834249973297
./settings/juniper-ts-dbfs/PODLib/castro14m2.stdout:DATA, castro14m2.jl, 209, 0, 0, 205, Min, 575.9861111878477, NaN, Optimal, 0.6652200222015381
./settings/juniper-ts-dbfs/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.2282309532165527
./settings/juniper-ts-dbfs/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582379469024, 4.579582379469024, Optimal, 0.01884913444519043
./settings/juniper-ts-dbfs/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.5407040119171143
./settings/juniper-ts-dbfs/PODLib/ex1264.stdout:DATA, ex1264.jl, 88, 68, 0, 95, Min, 8.599999998538072, 8.599999998538072, Optimal, 43.06295704841614
./settings/juniper-ts-dbfs/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.526800612853963, 13.52800473607632, Optimal, 535.649158000946
./settings/juniper-ts-dbfs/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.0861871281959785e6, 1.0860844049293e6, Optimal, 1207.2681941986084
./settings/juniper-ts-dbfs/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5267331600189209
./settings/juniper-ts-dbfs/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.19166249924195927, 0.19166249924195927, Optimal, 27.209935188293457
./settings/juniper-ts-dbfs/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.3594008105753, 13.3594008105753, Optimal, 19.453269004821777
./settings/juniper-ts-dbfs/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, 311.4663279170218, 131.60852461537274, UserLimit, 3600.0272488594055
./settings/juniper-ts-dbfs/PODLib/ex1266.stdout:DATA, ex1266.jl, 180, 138, 0, 178, Min, 16.30000005603672, 16.30000005603672, Optimal, 70.16828799247742
./settings/juniper-ts-dbfs/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415479599999, 106.35415479599999, Optimal, 14.145257949829102
./settings/juniper-ts-dbfs/PODLib/blend146.stdout:DATA, blend146.jl, 222, 87, 0, 624, Max, 21.259003245128742, 46.05974008363394, UserLimit, 3600.6580679416656
./settings/juniper-ts-dbfs/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, 0.0, 0.0, Optimal, 34.994609117507935
./settings/juniper-ts-dbfs/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-ts-dbfs/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5461249351501465
./settings/juniper-ts-dbfs/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, 53.96270088514075, 53.967926011719314, Optimal, 784.5606710910797
./settings/juniper-ts-dbfs/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, NaN, 12.396652252035334, UserLimit, 3600.327120065689
