./solvers/minotaur-bnb-nlw/JuniperLibSm/ndcc14.stdout:DATA, ndcc14.jl, 865, 54, 0, 306, Min, NaN, NaN, UserLimit, 3600.642434835434
./solvers/minotaur-bnb-nlw/JuniperLibSm/chp_partload.stdout:DATA, chp_partload.jl, 2249, 45, 0, 2517, Min, 0, NaN, Infeasible, 0.31548285484313965
./solvers/minotaur-bnb-nlw/JuniperLibSm/graphpart_clique-50.stdout:DATA, graphpart_clique-50.jl, 151, 150, 0, 51, Min, 2391.0000000000014, NaN, UserLimit, 3603.714107990265
./solvers/minotaur-bnb-nlw/JuniperLibSm/tspn05.stdout:DATA, tspn05.jl, 21, 10, 0, 11, Min, 191.25510183967802, NaN, Optimal, 0.1979198455810547
./solvers/minotaur-bnb-nlw/JuniperLibSm/procurement1mot.stdout:DATA, procurement1mot.jl, 785, 60, 0, 750, Max, 291.5416611598056, NaN, Optimal, 384.8429388999939
./solvers/minotaur-bnb-nlw/JuniperLibSm/multiplants_stg1.stdout:DATA, multiplants_stg1.jl, 415, 198, 0, 262, Max, 351.4163001604963, NaN, UserLimit, 3600.6001420021057
./solvers/minotaur-bnb-nlw/JuniperLibSm/fo8_ar2_1.stdout:DATA, fo8_ar2_1.jl, 145, 0, 56, 348, Min, NaN, NaN, UserLimit, 3602.0597488880157
./solvers/minotaur-bnb-nlw/JuniperLibSm/multiplants_mtg5.stdout:DATA, multiplants_mtg5.jl, 191, 78, 0, 309, Max, 5924.599945690483, NaN, UserLimit, 2521.0751609802246
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd15-04.stdout:DATA, sssd15-04.jl, 89, 72, 0, 48, Min, 0, NaN, Infeasible, 0.21706509590148926
./solvers/minotaur-bnb-nlw/JuniperLibSm/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 0, NaN, Infeasible, 0.25040698051452637
./solvers/minotaur-bnb-nlw/JuniperLibSm/fo9.stdout:DATA, fo9.jl, 183, 72, 0, 344, Min, NaN, NaN, UserLimit, 3602.3400700092316
./solvers/minotaur-bnb-nlw/JuniperLibSm/graphpart_3g-0444-0444.stdout:DATA, graphpart_3g-0444-0444.jl, 193, 192, 0, 65, Min, -7.603755999999999e6, NaN, Optimal, 169.96091604232788
./solvers/minotaur-bnb-nlw/JuniperLibSm/tspn15.stdout:DATA, tspn15.jl, 136, 105, 0, 35, Min, 331.08895553638786, NaN, Optimal, 0.3099808692932129
./solvers/minotaur-bnb-nlw/JuniperLibSm/heatexch_gen3.stdout:DATA, heatexch_gen3.jl, 581, 60, 0, 511, Min, NaN, NaN, UserLimit, 3603.826854944229
./solvers/minotaur-bnb-nlw/JuniperLibSm/product.stdout:DATA, product.jl, 1554, 107, 0, 1926, Min, -2142.9480892334427, NaN, UserLimit, 978.2042610645294
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd25-04persp.stdout:DATA, sssd25-04persp.jl, 129, 112, 0, 58, Min, 0, NaN, Infeasible, 0.2481098175048828
./solvers/minotaur-bnb-nlw/JuniperLibSm/deb10.stdout:DATA, deb10.jl, 183, 22, 0, 130, Min, 0, NaN, Infeasible, 1.6648240089416504
./solvers/minotaur-bnb-nlw/JuniperLibSm/hydroenergy3.stdout:DATA, hydroenergy3.jl, 1009, 336, 0, 1499, Max, 744963.7659512821, NaN, UserLimit, 971.9968528747559
./solvers/minotaur-bnb-nlw/JuniperLibSm/space25.stdout:DATA, space25.jl, 894, 750, 0, 236, Min, 484.3286280998614, NaN, UserLimit, 339.8301911354065
./solvers/minotaur-bnb-nlw/JuniperLibSm/chp_shorttermplan1b.stdout:DATA, chp_shorttermplan1b.jl, 1681, 288, 0, 3851, Min, 0, NaN, Infeasible, 0.6077911853790283
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_lee4_08.stdout:DATA, crudeoil_lee4_08.jl, 3129, 152, 0, 6858, Max, NaN, NaN, UserLimit, 3604.5946531295776
./solvers/minotaur-bnb-nlw/JuniperLibSm/supplychainr1_053050.stdout:DATA, supplychainr1_053050.jl, 5151, 1680, 0, 6581, Min, 0, NaN, Infeasible, 10.811607122421265
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_pooling_ct4.stdout:DATA, crudeoil_pooling_ct4.jl, 534, 138, 0, 925, Max, 13254.420002351224, NaN, UserLimit, 3602.4010372161865
./solvers/minotaur-bnb-nlw/JuniperLibSm/sfacloc1_2_95.stdout:DATA, sfacloc1_2_95.jl, 172, 9, 0, 209, Min, 18.85006984233867, NaN, Optimal, 0.6267490386962891
./solvers/minotaur-bnb-nlw/JuniperLibSm/o7_2.stdout:DATA, o7_2.jl, 115, 42, 0, 212, Min, 151.0608188698808, NaN, UserLimit, 3602.496255874634
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross10-060.stdout:DATA, edgecross10-060.jl, 91, 44, 0, 481, Min, 462.9999818931304, NaN, Optimal, 1.1354169845581055
./solvers/minotaur-bnb-nlw/JuniperLibSm/super3t.stdout:DATA, super3t.jl, 1056, 44, 0, 1343, Min, -0.6776485843885112, NaN, UserLimit, 3600.697527885437
./solvers/minotaur-bnb-nlw/JuniperLibSm/lop97icx.stdout:DATA, lop97icx.jl, 987, 0, 899, 88, Min, 2496.4234255999995, NaN, UserLimit, 3614.6693811416626
./solvers/minotaur-bnb-nlw/JuniperLibSm/4stufen.stdout:DATA, 4stufen.jl, 150, 48, 0, 99, Min, 0, NaN, Infeasible, 1.0749180316925049
./solvers/minotaur-bnb-nlw/JuniperLibSm/portfol_shortfall200_05.stdout:DATA, portfol_shortfall200_05.jl, 805, 201, 0, 608, Min, -1.0705297547465535, NaN, UserLimit, 3600.9797739982605
./solvers/minotaur-bnb-nlw/JuniperLibSm/squfl025-040.stdout:DATA, squfl025-040.jl, 1026, 25, 0, 1041, Min, 197.3338333820758, NaN, Optimal, 1097.3462090492249
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_lee2_10.stdout:DATA, crudeoil_lee2_10.jl, 2311, 140, 0, 5432, Max, NaN, NaN, UserLimit, 3773.4923758506775
./solvers/minotaur-bnb-nlw/JuniperLibSm/o7_ar4_1.stdout:DATA, o7_ar4_1.jl, 113, 0, 42, 270, Min, 153.97498870245485, NaN, UserLimit, 3603.914139986038
./solvers/minotaur-bnb-nlw/JuniperLibSm/tls5.stdout:DATA, tls5.jl, 162, 131, 5, 91, Min, 11.399999999999999, NaN, UserLimit, 3602.5649099349976
./solvers/minotaur-bnb-nlw/JuniperLibSm/ndcc16.stdout:DATA, ndcc16.jl, 1081, 60, 0, 378, Min, 118.93653662568768, NaN, UserLimit, 3600.5707211494446
./solvers/minotaur-bnb-nlw/JuniperLibSm/heatexch_spec1.stdout:DATA, heatexch_spec1.jl, 57, 12, 0, 65, Min, 154997.32393558856, NaN, Optimal, 1.0628268718719482
./solvers/minotaur-bnb-nlw/JuniperLibSm/multiplants_mtg6.stdout:DATA, multiplants_mtg6.jl, 350, 176, 0, 481, Max, NaN, NaN, UserLimit, 3608.3974499702454
./solvers/minotaur-bnb-nlw/JuniperLibSm/tls7.stdout:DATA, tls7.jl, 346, 289, 7, 155, Min, NaN, NaN, UserLimit, 3602.705004930496
./solvers/minotaur-bnb-nlw/JuniperLibSm/transswitch0009p.stdout:DATA, transswitch0009p.jl, 70, 9, 0, 140, Min, 5296.686201331882, NaN, Optimal, 0.21725010871887207
./solvers/minotaur-bnb-nlw/JuniperLibSm/watercontamination0202r.stdout:DATA, watercontamination0202r.jl, 196, 7, 0, 284, Min, 97.90436289117343, NaN, Optimal, 91.6107268333435
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross24-057.stdout:DATA, edgecross24-057.jl, 553, 552, 0, 8097, Min, 177.99999999999568, NaN, UserLimit, 3601.127870082855
