./settings/juniper-fp-cbc-nic/PODLib/blend531.stdout:DATA, blend531.jl, 272, 104, 0, 736, Max, 20.039004199240388, 20.0407701696108, Optimal, 1808.5789031982422
./settings/juniper-fp-cbc-nic/PODLib/castro14m2.stdout:DATA, castro14m2.jl, 209, 0, 0, 205, Min, 575.9861111878477, NaN, Optimal, 0.6774239540100098
./settings/juniper-fp-cbc-nic/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.3526320457458496
./settings/juniper-fp-cbc-nic/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582373796942, 4.579582373796942, Optimal, 0.027178049087524414
./settings/juniper-fp-cbc-nic/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.5144550800323486
./settings/juniper-fp-cbc-nic/PODLib/ex1264.stdout:DATA, ex1264.jl, 88, 68, 0, 95, Min, 8.600000001944766, 8.600000001944766, Optimal, 233.20819306373596
./settings/juniper-fp-cbc-nic/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.526800352421986, 13.527712130501305, Optimal, 574.6551079750061
./settings/juniper-fp-cbc-nic/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.1075706856903543e6, 1.1075706856903543e6, Optimal, 151.45126104354858
./settings/juniper-fp-cbc-nic/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5664689540863037
./settings/juniper-fp-cbc-nic/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.19166249930684684, 0.19166249930684684, Optimal, 9.274538040161133
./settings/juniper-fp-cbc-nic/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.359400802098595, 13.359400802098595, Optimal, 15.369893074035645
./settings/juniper-fp-cbc-nic/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, NaN, 128.1420196480174, UserLimit, 3600.067531108856
./settings/juniper-fp-cbc-nic/PODLib/ex1266.stdout:DATA, ex1266.jl, 180, 138, 0, 178, Min, 16.300000021744484, 16.300000021744484, Optimal, 53.07706904411316
./settings/juniper-fp-cbc-nic/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415479599999, 106.35415479599999, Optimal, 36.7730929851532
./settings/juniper-fp-cbc-nic/PODLib/blend146.stdout:DATA, blend146.jl, 222, 87, 0, 624, Max, NaN, 46.007501129789254, UserLimit, 3600.357110977173
./settings/juniper-fp-cbc-nic/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, 0.0, 0.0, UserLimit, 3600.1057481765747
./settings/juniper-fp-cbc-nic/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 2.3251393188135e-310
./settings/juniper-fp-cbc-nic/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5723710060119629
./settings/juniper-fp-cbc-nic/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, 53.962701255963715, 53.9680757975216, Optimal, 1041.7569918632507
./settings/juniper-fp-cbc-nic/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, 3.490287254519567, 10.232817269560591, UserLimit, 3600.259588956833
