./settings/juniper-fp-cbc/PODLib/castro14m2.stdout:DATA, castro14m2.jl, 209, 0, 0, 205, Min, 575.9861111878477, NaN, Optimal, 0.683243989944458
./settings/juniper-fp-cbc/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.2966909408569336
./settings/juniper-fp-cbc/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582369426914, 4.579582369426914, Optimal, 0.03179502487182617
./settings/juniper-fp-cbc/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.5106229782104492
./settings/juniper-fp-cbc/PODLib/ex1264.stdout:DATA, ex1264.jl, 88, 68, 0, 95, Min, 8.600000001944766, 8.600000001944766, Optimal, 230.04325008392334
./settings/juniper-fp-cbc/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.526800611464042, 13.527028776735945, Optimal, 449.3167679309845
./settings/juniper-fp-cbc/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.0861871280256568e6, 1.0861703925483963e6, Optimal, 416.1823961734772
./settings/juniper-fp-cbc/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5412869453430176
./settings/juniper-fp-cbc/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.19166249932535764, 0.19166249932535764, Optimal, 18.350510120391846
./settings/juniper-fp-cbc/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.359400813246916, 13.359400813246916, Optimal, 16.718005895614624
./settings/juniper-fp-cbc/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, NaN, 128.37053276145286, UserLimit, 3600.0201630592346
./settings/juniper-fp-cbc/PODLib/ex1266.stdout:DATA, ex1266.jl, 180, 138, 0, 178, Min, 16.300000021744484, 16.300000021744484, Optimal, 53.5018630027771
./settings/juniper-fp-cbc/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415479599999, 106.35415479599999, Optimal, 36.5538010597229
./settings/juniper-fp-cbc/PODLib/blend146.stdout:DATA, blend146.jl, 222, 87, 0, 624, Max, NaN, 46.02509693246109, UserLimit, 3601.2149019241333
./settings/juniper-fp-cbc/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, 0.0, 0.0, UserLimit, 3600.4379019737244
./settings/juniper-fp-cbc/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 2.35588587113213e-310
./settings/juniper-fp-cbc/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5331828594207764
./settings/juniper-fp-cbc/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, 26.349005963105203, 26.349005963105203, Optimal, 23.23483896255493
./settings/juniper-fp-cbc/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, 3.490287254519567, 9.79166511807217, UserLimit, 3600.060206890106
