./settings/juniper-bs-mi/PODLib/castro14m2.stdout:DATA, castro14m2.jl, 209, 0, 0, 205, Min, 575.9861111878477, NaN, Optimal, 0.6789450645446777
./settings/juniper-bs-mi/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.2699201107025146
./settings/juniper-bs-mi/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582379469024, 4.579582379469024, Optimal, 0.011519908905029297
./settings/juniper-bs-mi/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.5202867984771729
./settings/juniper-bs-mi/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.52680063431896, 13.527743312792042, Optimal, 1449.9291570186615
./settings/juniper-bs-mi/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.1153968233106758e6, 1.1152865526257874e6, Optimal, 510.7612681388855
./settings/juniper-bs-mi/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5353620052337646
./settings/juniper-bs-mi/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.19166150165399873, 0.19166150165399873, Optimal, 40.48515486717224
./settings/juniper-bs-mi/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.359400819536448, 13.360400661650752, Optimal, 408.36986207962036
./settings/juniper-bs-mi/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, NaN, 48.75021942187334, UserLimit, 3600.042471885681
./settings/juniper-bs-mi/PODLib/ex1266.stdout:DATA, ex1266.jl, 180, 138, 0, 178, Min, 16.300000121697952, 16.298815751595654, Optimal, 1121.8074841499329
./settings/juniper-bs-mi/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415479599999, 106.35415479599999, Optimal, 14.859528064727783
./settings/juniper-bs-mi/PODLib/blend146.stdout:DATA, blend146.jl, 222, 87, 0, 624, Max, NaN, 46.680100949850704, UserLimit, 3600.1980440616608
./settings/juniper-bs-mi/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, NaN, 0.0, UserLimit, 3600.8133640289307
./settings/juniper-bs-mi/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-bs-mi/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5434079170227051
./settings/juniper-bs-mi/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, NaN, 54.71853415168597, UserLimit, 3600.4971840381622
./settings/juniper-bs-mi/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, NaN, 12.19114074711553, UserLimit, 3600.139858007431
