./solvers/couenne-nlw/JuniperLibSm/tspn05.stdout:ANALYSIS TEST: DATA, tspn05.jl, 21, 10, 0, 11, Min, NaN, NaN, Error, 0.4497659206390381
./solvers/couenne-nlw/JuniperLibSm/procurement1mot.stdout:DATA, procurement1mot.jl, 785, 60, 0, 750, Max, 267.6530998284126, NaN, UserLimit, 3708.7144470214844
./solvers/couenne-nlw/JuniperLibSm/multiplants_stg1.stdout:DATA, multiplants_stg1.jl, 415, 198, 0, 262, Max, NaN, NaN, UserLimit, 3734.274398088455
./solvers/couenne-nlw/JuniperLibSm/multiplants_mtg5.stdout:DATA, multiplants_mtg5.jl, 191, 78, 0, 309, Max, 5917.263282602921, NaN, UserLimit, 3747.3660111427307
./solvers/couenne-nlw/JuniperLibSm/sssd15-04.stdout:DATA, sssd15-04.jl, 89, 72, 0, 48, Min, 206274.53456331993, NaN, UserLimit, 3706.818216085434
./solvers/couenne-nlw/JuniperLibSm/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 1.2495874282071118e6, NaN, UserLimit, 3732.523472070694
./solvers/couenne-nlw/JuniperLibSm/fo9.stdout:DATA, fo9.jl, 183, 72, 0, 344, Min, 23.46428570655016, NaN, UserLimit, 3696.2353699207306
./solvers/couenne-nlw/JuniperLibSm/graphpart_3g-0444-0444.stdout:DATA, graphpart_3g-0444-0444.jl, 193, 192, 0, 65, Min, -7.603756000000001e6, NaN, Optimal, 466.2117249965668
./solvers/couenne-nlw/JuniperLibSm/tspn15.stdout:ANALYSIS TEST: DATA, tspn15.jl, 136, 105, 0, 35, Min, NaN, NaN, Error, 0.5040299892425537
./solvers/couenne-nlw/JuniperLibSm/heatexch_gen3.stdout:DATA, heatexch_gen3.jl, 581, 60, 0, 511, Min, NaN, NaN, UserLimit, 3944.426873922348
./solvers/couenne-nlw/JuniperLibSm/product.stdout:DATA, product.jl, 1554, 107, 0, 1926, Min, 0, NaN, Infeasible, 3.8885281085968018
./solvers/couenne-nlw/JuniperLibSm/sssd25-04persp.stdout:DATA, sssd25-04persp.jl, 129, 112, 0, 58, Min, 301194.4691869853, NaN, UserLimit, 3749.04940199852
./solvers/couenne-nlw/JuniperLibSm/deb10.stdout:DATA, deb10.jl, 183, 22, 0, 130, Min, NaN, NaN, UserLimit, 3695.1177530288696
./solvers/couenne-nlw/JuniperLibSm/hydroenergy3.stdout:DATA, hydroenergy3.jl, 1009, 336, 0, 1499, Max, 744196.514128862, NaN, UserLimit, 3727.873219013214
./solvers/couenne-nlw/JuniperLibSm/space25.stdout:DATA, space25.jl, 894, 750, 0, 236, Min, NaN, NaN, UserLimit, 3725.784126996994
