./solvers/juniper/JuniperLib/CLay0304H.stdout:DATA, CLay0304H.jl,177,36,0,259, Min,40262.4236991747,10969.9998071982, UserLimit,3600.65311384201
./solvers/juniper/JuniperLib/CLay0304M.stdout:DATA, CLay0304M.jl,57,36,0,107, Min,41386.0840702484,8204.99996112001, UserLimit,3601.31646990776
./solvers/juniper/JuniperLib/CLay0305H.stdout:DATA, CLay0305H.jl,276,55,0,396, Min,8092.49985045457,8092.49985045457, Optimal,2928.04098916054
./solvers/juniper/JuniperLib/CLay0305M.stdout:DATA, CLay0305M.jl,86,55,0,156, Min,8092.49995663273,8092.49995663273, Optimal,3589.47711992264
./solvers/juniper/JuniperLib/contvar.stdout:DATA, contvar.jl,297,88,0,285, Min,809149.810403136,809114.182927747, Optimal,28.2131860256195
./solvers/juniper/JuniperLib/crossdock_15x7.stdout:DATA, crossdock_15x7.jl,211,210,0,45, Min, NaN,14399.6245952248, UserLimit,3600.52731704712
./solvers/juniper/JuniperLib/crossdock_15x8.stdout:DATA, crossdock_15x8.jl,241,240,0,47, Min, NaN,15478.9703429192, UserLimit,3600.09545397758
./solvers/juniper/JuniperLib/crudeoil_lee1_05.stdout:DATA, crudeoil_lee1_05.jl,536,40,0,1241, Max,0, NaN, Infeasible,563.093630075455
./solvers/juniper/JuniperLib/crudeoil_lee1_06.stdout:DATA, crudeoil_lee1_06.jl,643,48,0,1504, Max,0, NaN, Infeasible,266.035279035568
./solvers/juniper/JuniperLib/crudeoil_lee1_07.stdout:DATA, crudeoil_lee1_07.jl,750,56,0,1777, Max,0, NaN, Infeasible,291.595191001892
./solvers/juniper/JuniperLib/crudeoil_lee1_08.stdout:DATA, crudeoil_lee1_08.jl,857,64,0,2060, Max,0, NaN, Infeasible,347.876091957092
./solvers/juniper/JuniperLib/crudeoil_lee1_09.stdout:DATA, crudeoil_lee1_09.jl,964,72,0,2353, Max,0, NaN, Infeasible,708.737009048462
./solvers/juniper/JuniperLib/crudeoil_lee1_10.stdout:DATA, crudeoil_lee1_10.jl,1071,80,0,2656, Max,0, NaN, Infeasible,1780.12134003639
./solvers/juniper/JuniperLib/crudeoil_lee2_05.stdout:DATA, crudeoil_lee2_05.jl,1156,70,0,2582, Max,0, NaN, Infeasible,851.347629070282
./solvers/juniper/JuniperLib/crudeoil_lee2_06.stdout:DATA, crudeoil_lee2_06.jl,1387,84,0,3118, Max,0, NaN, Infeasible,1166.46300601959
./solvers/juniper/JuniperLib/crudeoil_lee2_07.stdout:DATA, crudeoil_lee2_07.jl,1618,98,0,3671, Max,0, NaN, Infeasible,1566.97408604622
./solvers/juniper/JuniperLib/crudeoil_lee2_08.stdout:DATA, crudeoil_lee2_08.jl,1849,112,0,4241, Max, NaN, NaN, UserLimit,4452.68220305443
./solvers/juniper/JuniperLib/crudeoil_lee2_09.stdout:DATA, crudeoil_lee2_09.jl,2080,126,0,4828, Max,0, NaN, Infeasible,3681.70812106132
./solvers/juniper/JuniperLib/crudeoil_lee2_10.stdout:DATA, crudeoil_lee2_10.jl,2311,140,0,5432, Max,0, NaN, Infeasible,4825.49764180183
./solvers/juniper/JuniperLib/crudeoil_lee3_05.stdout:DATA, crudeoil_lee3_05.jl,1281,70,0,2787, Max, NaN,88.5621468933694, UserLimit,3774.7452480793
./solvers/juniper/JuniperLib/crudeoil_lee3_06.stdout:DATA, crudeoil_lee3_06.jl,1537,84,0,3360, Max, NaN, NaN, UserLimit,3899.53171515465
./solvers/juniper/JuniperLib/crudeoil_lee3_07.stdout:DATA, crudeoil_lee3_07.jl,1793,98,0,3950, Max, NaN, NaN, UserLimit,1836.5663869381
./solvers/juniper/JuniperLib/crudeoil_lee3_08.stdout:DATA, crudeoil_lee3_08.jl,2049,112,0,4557, Max, NaN,91.0312497636692, UserLimit,5155.14386105537
./solvers/juniper/JuniperLib/crudeoil_lee3_09.stdout:DATA, crudeoil_lee3_09.jl,2305,126,0,5181, Max, NaN, NaN, UserLimit,4957.70399308205
./solvers/juniper/JuniperLib/crudeoil_lee3_10.stdout:DATA, crudeoil_lee3_10.jl,2561,140,0,5822, Max, NaN,91.0511359165444, UserLimit,4323.30765604973
./solvers/juniper/JuniperLib/crudeoil_lee4_05.stdout:DATA, crudeoil_lee4_05.jl,1956,95,0,4242, Max,0, NaN, Infeasible,757.407217979431
./solvers/juniper/JuniperLib/crudeoil_lee4_06.stdout:DATA, crudeoil_lee4_06.jl,2347,114,0,5094, Max,0, NaN, Infeasible,4279.53112506866
./solvers/juniper/JuniperLib/crudeoil_lee4_07.stdout:DATA, crudeoil_lee4_07.jl,2738,133,0,5966, Max, NaN, NaN, UserLimit,6235.02805685997
./solvers/juniper/JuniperLib/crudeoil_lee4_08.stdout:DATA, crudeoil_lee4_08.jl,3129,152,0,6858, Max, NaN, NaN, UserLimit,5105.80342006683
./solvers/juniper/JuniperLib/crudeoil_lee4_09.stdout:DATA, crudeoil_lee4_09.jl,3520,171,0,7770, Max, NaN, NaN, UserLimit,3702.09447693825
./solvers/juniper/JuniperLib/crudeoil_lee4_10.stdout:DATA, crudeoil_lee4_10.jl,3911,190,0,8702, Max, NaN, NaN, UserLimit,5833.02033400536
./solvers/juniper/JuniperLib/crudeoil_li01.stdout:DATA, crudeoil_li01.jl,345,48,0,696, Max,5122.56451344692,5122.56451344692, Optimal,2140.03627181053
./solvers/juniper/JuniperLib/crudeoil_li02.stdout:DATA, crudeoil_li02.jl,1298,240,0,5005, Max, NaN,101874446.963231, UserLimit,3601.48411798477
./solvers/juniper/JuniperLib/crudeoil_li03.stdout:DATA, crudeoil_li03.jl,965,132,0,2443, Max, NaN, NaN, UserLimit,126.232985019684
./solvers/juniper/JuniperLib/crudeoil_li05.stdout:DATA, crudeoil_li05.jl,941,132,0,1917, Max, NaN,3193.72221402285, UserLimit,3611.16868495941
./solvers/juniper/JuniperLib/crudeoil_li06.stdout:DATA, crudeoil_li06.jl,965,132,0,2437, Max, NaN,3374.62837899499, UserLimit,3630.98284816742
./solvers/juniper/JuniperLib/crudeoil_li11.stdout:DATA, crudeoil_li11.jl,1178,180,0,3506, Max, NaN,4749.09634002381, UserLimit,3602.77021288872
./solvers/juniper/JuniperLib/crudeoil_li21.stdout:DATA, crudeoil_li21.jl,1349,216,0,4682, Max, NaN,4844.69595821381, UserLimit,3668.42770314217
./solvers/juniper/JuniperLib/crudeoil_pooling_ct1.stdout:DATA, crudeoil_pooling_ct1.jl,311,80,0,566, Min, NaN,155513.498525719, UserLimit,3600.04051709175
./solvers/juniper/JuniperLib/crudeoil_pooling_ct2.stdout:DATA, crudeoil_pooling_ct2.jl,404,108,0,733, Max,10246.2199980936,10246.2199980975, Optimal,758.630603790283
./solvers/juniper/JuniperLib/crudeoil_pooling_ct3.stdout:DATA, crudeoil_pooling_ct3.jl,730,128,0,1199, Min, NaN,103779.994310309, UserLimit,3600.57038998604
./solvers/juniper/JuniperLib/crudeoil_pooling_ct4.stdout:DATA, crudeoil_pooling_ct4.jl,534,138,0,925, Max,13258.2688186831,13258.2688186831, Optimal,1211.47316980362
./solvers/juniper/JuniperLib/crudeoil_pooling_dt1.stdout:DATA, crudeoil_pooling_dt1.jl,3713,916,0,5779, Min, NaN,128558.981637919, UserLimit,3605.3677520752
