./settings/juniper-p17/PODLib/castro13m2.stdout:DATA, castro13m2.jl, 1040, 0, 0, 783, Min, 1832.0115874005992, NaN, Optimal, 1.2657098770141602
./settings/juniper-p17/PODLib/ex1223a.stdout:DATA, ex1223a.jl, 7, 4, 0, 15, Min, 4.579582379469024, 4.579582379469024, Optimal, 0.24178814888000488
./settings/juniper-p17/PODLib/nlp3.stdout:DATA, nlp3.jl, 8, 0, 0, 6, Min, 7049.247897696512, NaN, Optimal, 0.53298020362854
./settings/juniper-p17/PODLib/ex1264.stdout:DATA, ex1264.jl, 88, 68, 0, 95, Min, 8.599999991764625, 8.599999982488207, Optimal, 27.820073127746582
./settings/juniper-p17/PODLib/blend721.stdout:DATA, blend721.jl, 223, 87, 0, 628, Max, 13.526800613513238, 13.527600787889233, Optimal, 61.797040939331055
./settings/juniper-p17/PODLib/genpooling_meyer10.stdout:DATA, genpooling_meyer10.jl, 395, 187, 0, 424, Min, 1.0861871282019038e6, 1.0861871282019038e6, Optimal, 65.07929015159607
./settings/juniper-p17/PODLib/dispatch.stdout:DATA, dispatch.jl, 5, 0, 0, 3, Min, 3155.2879266860346, NaN, Optimal, 0.5227739810943604
./settings/juniper-p17/PODLib/elf.stdout:DATA, elf.jl, 55, 24, 0, 39, Min, 0.5849968326415306, 0.5849968326415306, Optimal, 4.410038948059082
./settings/juniper-p17/PODLib/blend029.stdout:DATA, blend029.jl, 102, 36, 0, 213, Max, 13.359400829369028, 13.359400829369028, Optimal, 10.155473947525024
./settings/juniper-p17/PODLib/o8_ar4_1.stdout:DATA, o8_ar4_1.jl, 145, 0, 56, 348, Min, NaN, 142.56537846255887, UserLimit, 3600.0824480056763
./settings/juniper-p17/PODLib/ex1266.stdout:DATA, ex1266.jl, 180, 138, 0, 178, Min, 16.30000000796543, 16.298991564156164, Optimal, 9.228657960891724
./settings/juniper-p17/PODLib/ndcc12.stdout:DATA, ndcc12.jl, 645, 46, 0, 238, Min, 106.35415479599999, 106.35415479599999, Optimal, 17.194769859313965
./settings/juniper-p17/PODLib/blend146.stdout:DATA, blend146.jl, 222, 87, 0, 624, Max, 45.2965674366677, 45.301044878352954, Optimal, 790.8609499931335
./settings/juniper-p17/PODLib/multiplants_mtg1a.stdout:DATA, multiplants_mtg1a.jl, 194, 93, 0, 257, Min, 0.0, 0.0, Optimal, 310.21577310562134
./settings/juniper-p17/PODLib/castro9m2.stdout:DATA, castro9m2.jl, 517, 0, 0, 573, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-p17/PODLib/castro2m2.stdout:DATA, castro2m2.jl, 42, 0, 0, 45, Min, 470.31746426029684, NaN, Optimal, 0.5799658298492432
./settings/juniper-p17/PODLib/blend852.stdout:DATA, blend852.jl, 305, 120, 0, 861, Max, 53.96270083303604, 53.967625615979195, Optimal, 106.14265489578247
./settings/juniper-p17/PODLib/blend480.stdout:DATA, blend480.jl, 312, 124, 0, 884, Max, 9.226602349827699, 9.22751941033131, Optimal, 2560.4878528118134
