Solver,01,15,510,1020,2050,50100,100
Juniper, 85, 9, 4, 3, 4, 6, 2
Bonmin, 91, 16, 4, 1, 1, 0, 0
Minotaur, 83, 10, 9, 4, 6, 0, 1
Knitro, 69, 18, 8, 1, 3, 4, 10
